pair,engagement by Utterance,engagement by Second,mean engagement by Utterance,mean engagement by Second,openness,conscientiousness,extraversion,agreeableness,neuroticism,openness difference,conscientiousness difference,extraversion difference,agreeableness difference,neuroticism difference
P058_P035,0.4267389792095729,0.4038794996175879,0.5050095019388752,0.3719138968733089,0.31,0.32,0.62,0.15,0.83,-0.03999999999999998,-0.03999999999999998,-0.14,-0.1,0.13
P058_P043,0.27149406067530246,0.11011900089243795,0.5050095019388752,0.3719138968733089,0.31,0.32,0.62,0.15,0.83,0.16,-0.15999999999999998,-0.17000000000000004,-0.25,0.19999999999999996
P058_P074,0.44050906026259856,0.42029096003095984,0.5050095019388752,0.3719138968733089,0.31,0.32,0.62,0.15,0.83,-0.15000000000000002,-0.36000000000000004,-0.14,-0.6,0.32999999999999996
P074_P035,1.124404592665692,1.126682399328859,1.1450266985444837,1.1226712863729067,0.46,0.68,0.76,0.75,0.5,0.11000000000000004,0.32000000000000006,0.0,0.5,-0.19999999999999996
P074_P043,1.139233260275108,1.1360734762731037,1.1450266985444837,1.1226712863729067,0.46,0.68,0.76,0.75,0.5,0.31000000000000005,0.20000000000000007,-0.030000000000000027,0.35,-0.13
P074_P058,1.1365403866436925,1.1237452931804512,1.1450266985444837,1.1226712863729067,0.46,0.68,0.76,0.75,0.5,0.15000000000000002,0.36000000000000004,0.14,0.6,-0.32999999999999996
P073_P082,1.124825350023681,1.1159135863585437,1.1506883722591406,1.1087127419728842,0.27,0.76,0.66,0.75,0.03,,,,,
P073_P084,1.0995077002168387,1.1002694878157178,1.1506883722591406,1.1087127419728842,0.27,0.76,0.66,0.75,0.03,-0.45999999999999996,0.0,-0.19999999999999996,-0.25,-0.30000000000000004
P073_P099,1.1322421071428574,1.1308532321428575,1.1506883722591406,1.1087127419728842,0.27,0.76,0.66,0.75,0.03,0.12000000000000002,-0.24,0.32,0.65,-0.84
P082_P073,1.0590144717836258,1.0626670035982815,1.1205760964512976,1.0721620787601178,,,,,,,,,,
P082_P084,1.0996177368316624,1.077864222411799,1.1205760964512976,1.0721620787601178,,,,,,,,,,
P082_P099,1.25455516118421,1.2695009111842102,1.1205760964512976,1.0721620787601178,,,,,,,,,,
P084_P073,1.0352244302083338,1.010869597183435,1.138532695832538,1.0874874256921205,0.73,0.76,0.86,1.0,0.33,0.45999999999999996,0.0,0.19999999999999996,0.25,0.30000000000000004
P084_P082,1.0898771381578944,1.0830257362995117,1.138532695832538,1.0874874256921205,0.73,0.76,0.86,1.0,0.33,,,,,
P084_P099,1.1019523333333332,1.1237166250000001,1.138532695832538,1.0874874256921205,0.73,0.76,0.86,1.0,0.33,0.58,-0.24,0.52,0.9,-0.54
P099_P073,0.8373691491228072,0.8118490397422128,0.789074444893199,0.7755810352609608,0.15,1.0,0.34,0.1,0.87,-0.12000000000000002,0.24,-0.32,-0.65,0.84
